code,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1983,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1984,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1985,10,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1986,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1987,98,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1988,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1989,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1990,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1991,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1992,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1993,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1994,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1995,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1996,96,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1997,5792,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1998,137,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,1999,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2000,1034,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2001,55,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2002,5421,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2003,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2004,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2005,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2006,679,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2007,279,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2008,52,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2009,536,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2010,873,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2011,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2012,51,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2013,1112,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2014,18,
